Zip,Street,Region,Price,Bedrooms,Bathrooms,Floorspace,Pet_friendly,Furnished,lat,lng,crime_percentage,restaurant_num,restaurant_star,trans_time_driv,trans_time_walk,trans_time_bike
15213,328 N Craig St #B,"North Oakland, Pittsburgh, PA",900,1,1,,N,N,40.452677,-79.9522796,0.026561,56,3.5982142857142856,5.5,15.0,5.0
15213,352 Semple St,"Oakland, Pittsburgh, PA",2300,4,2,1492.0,N,N,40.4375992,-79.95585,0.026561,124,3.5080645161290325,5.5,20.0,6.5
15213,3432 Ward St,"Oakland, Oakland, PA",1500,3,2,1952.0,N,N,40.435582200000006,-79.9541891,0.026561,52,3.6538461538461537,3.5,20.0,8.0
15213,2514 Allequippa St,"West Oakland, Pittsburgh, PA",2500,5,2.5,2225.0,N,N,40.441393,-79.9673703,0.026561,0,0.0,8.0,27.0,10.0
15213,311 Morewood Ave #6,"Shadyside, Pittsburgh, PA",1995,3,1,1300.0,N,N,40.453864200000005,-79.94394989999998,0.026561,11,3.8181818181818183,4.5,16.5,5.5
15213,416 Semple St,"Oakland, Pittsburgh, PA",2200,4,2,,N,N,40.43660560000001,-79.95462619999998,0.026561,66,3.522727272727273,5.0,19.5,7.0
15213,Craig House,"North Oakland, Pittsburgh, PA",1349,2,1,,N,N,40.4490241,-79.95060149999998,0.026561,99,3.409090909090909,3.5,9.5,3.0
15213,21 Mackey St,"Oakland, Oakland, PA",1200,3,2,,N,N,40.4336165,-79.95945440000001,0.026561,6,3.5833333333333335,6.0,33.5,15.0
15213,3418 Ward St #3,"Oakland, Pittsburgh, PA",750,1,1,600.0,N,N,40.4351526,-79.9541978,0.026561,46,3.7065217391304346,3.5,20.5,8.0
15213,3621 Childs St,"Oakland, Pittsburgh, PA",1550,3,1,1400.0,N,N,40.4309373,-79.95222220000001,0.026561,5,3.8,4.5,23.0,9.5
15213,344 Melwood Ave #2,"North Oakland, Pittsburgh, PA",2000,4,2,,Y,N,40.453569099999996,-79.9513808,0.026561,60,3.4833333333333334,6.0,17.0,6.5
15213,6 Enfield St #TWO,"Bloomfield, Pittsburgh, PA",2000,4,2,,Y,N,40.4560685,-79.95068149999999,0.026561,48,3.3541666666666665,8.0,24.5,10.0
15213,3211 Ward St #A,"Oakland, Pittsburgh, PA",1200,2,1,,Y,N,40.4311948,-79.95559809999999,0.026561,6,3.25,5.0,26.0,9.0
15213,3715 Parkview Ave,"Oakland, Pittsburgh, PA",3450,6,3,2444.0,N,N,40.437593,-79.95143399999998,0.026561,10,3.85,4.0,16.5,6.5
15213,221 Atwood St #A,"Oakland, Pittsburgh, PA",1500,2,1,800.0,N,N,40.44063679999999,-79.95693979999999,0.026561,156,3.532051282051282,4.0,14.5,5.5
