Zip,Street,Region,Price,Bedrooms,Bathrooms,Floorspace,Pet_friendly,Furnished
15213,352 S Bouquet St,"Oakland, Oakland, PA",3800,5,2,,N,N
15213,166 N Dithridge St #5J,"North Oakland, Oakland, PA",1000,1,1,,N,N
15213,3720 Parkview Ave,"Oakland, Pittsburgh, PA",2400,3,1.5,,N,N
15213,311 Meyran Ave #1,"Oakland, Pittsburgh, PA",2600,4,1,,N,N
15213,412 Morewood Ave,"Shadyside, Pittsburgh, PA",3250,3,3,2150 ,N,Y
15213,367 S Bouquet St,"Oakland, Pittsburgh, PA",5400,6,3,,N,N
15213,12 Ellsworth Ter,"Shadyside, Oakland, PA",3350,3,2.5,,Y,N
15213,504 N Neville St #12,"North Oakland, Oakland, PA",3500,2,2,,Y,N
15213,3526 Frazier St,"Oakland, Oakland, PA",3000,3,3.5,,Y,N
15217,Phillips Ave Apartments,"Squirrel Hill South, Pittsburgh, PA",905,1,1,,N,N
15217,Wendover Apartments,"Squirrel Hill South, Pittsburgh, PA",1070 - 1535,1-2,1,,Y,N
15217,Maxon Towers Apartments,"Squirrel Hill North, Pittsburgh, PA",1360 - 3200,1-3,1-2,,N,N
15217,Morrowfield Apartments,"Squirrel Hill South, Pittsburgh, PA",840 - 1275,Studio-1,1,,Y,N
15217,Hobart Court Apartments,"Squirrel Hill South, Pittsburgh, PA",1388 - 1703,2,1,,Y,N
15217,Hempstead Properties,"Squirrel Hill South, Pittsburgh, PA",1396 - 1581,2,1,,Y,N
15217,Walnut Towers at Frick Park Apartments,"Squirrel Hill South, Pittsburgh, PA",1215 - 2110,1-2,1-1.5,,Y,Y
15217,Forbes Terrace Apartments,"Squirrel Hill North, Pittsburgh, PA",2235 - 4038,3-4,1-2.5,,Y,N
15217,The Gateway at Summerset Apartments,"Squirrel Hill South, Pittsburgh, PA",1511 - 2644,1-2,1-2,,Y,N
15217,Walnut on Wightman Apartments,"Squirrel Hill South, Pittsburgh, PA",3380,4,2.5,,Y,N
15217,Beacon Commons Apartments,"Squirrel Hill South, Pittsburgh, PA",Contact For Price,3,1.5-2,,Y,N
15217,Walnut on the Park Apartments,"Squirrel Hill South, Pittsburgh, PA",Contact For Price,1-2,1,,Y,N
15217,4350 Murray Ave #1,"Greenfield, Pittsburgh, PA",800,2,1,1100 ,Y,N
15217,Address Not Disclosed,"Greenfield, Pittsburgh, PA",850,3,1,,N,N
15217,4111 Windsor St,"Greenfield, Pittsburgh, PA",1295,3,1,1700 ,N,N
15217,2360 Eldridge St,"Squirrel Hill South, Pittsburgh, PA",1050,2,1,,Y,N
15217,6212 Monitor St,"Squirrel Hill South, Pittsburgh, PA",1695,4,2,1897 ,N,N
15217,3633 Beechwood Blvd,"Greenfield, Pittsburgh, PA",1195,3,1.5,1232 ,Y,N
15217,5680 Forward Ave #11,"Squirrel Hill South, Pittsburgh, PA",750,1,1,750 ,N,N
15217,1655 Beechwood Blvd,"Squirrel Hill North, Squirrel Hill, PA",1895,4,2,,Y,N
15217,1512 Denniston St,"Squirrel Hill North, Pittsburgh, PA",1750,3,1,1560 ,N,N
15217,6359 Alderson St,"Squirrel Hill South, Squirrel Hill, PA",1250,2,1,,N,N
15217,5855 Darlington Rd #C3,"Squirrel Hill South, Pittsburgh, PA",825,Studio,1,400 ,Y,N
